Answer_id,Text,QuestionQuestion_id,QuestionnaireQuestionnaire_id,SessionSession_id
0001,46-60,0001,0001,0001
0002,Yes,0002,0001,0001
0003,Vegetarian,0003,0001,0001
0004,No,0004,0001,0001
0005,2 or 3,0006,0001,0001
0006,beans and vegetables,0007,001,0001
0007,No,0008,0001,0001
0008,Monthly,0009,0001,0001
0009,18-30,0001,0001,0004
0010,Yes,0002,0001,0004
0011,Vegan,0003,0001,0004
0012,No,4,0001,0004
0013,2 or 3,0006,0001,0004
0014,beans and vegetables,0007,0001,0004
0015,No,0008,0001,0004
0016,Monthly,0009,0001,0004
0017,31-45,0011,0002,0002
0018,Other,0012,0002,0002
0019,Yes,0013,0002,0002
0020,Shoes,0014,0002,0002
0021,50-200 €,0015,0002,0002
0022,Monthly,0016,0002,0002
0023,Style,0017,0002,0002
0024,Monochrome,0018,0002,0002
0025,18-30,0019,0003,0003
0026,Yes,0020,0003,0003
0027,No,0021,0003,0003
0028,Yes,0022,0003,0003
0029,Metro,0023,0003,0003
0030,1-20 minutes,0024,0003,0003
0031,No,0025,0003,0003
0032,31-45,0027,0004,0005
0033,Male,0028,0003
0034,
0035,
0036,
0037,
0038,
0039,
0040,
0041,
0042,
