Question_id,Text,type,Mandatory,QuestionnaireQuestionnaire_id
0001,What is your age group?,profile,true,0001
0002,Do you have any dietery restrictions?,question,true,0001
0003,What are your dietary restrictions,profile,false,0001
0004,Do you excersise?,profile,true,0001
0005,How often do you exercise?,profile,false,0001
0006,How many servings of fruits and vegetables do you typically consume per day?,question,true,0001
0007,What is your typical source of protein?,question,false,0001
0008,Do you have any food allergies or intolerances that affect your diet?,question,true,0001
0009,"How often do you consume sugary or high-fat foods and beverages (e.g., candy, soda, fried foods)?",question,true,0001
0010,Are there many available options in restaurants for you?,question,false,0001
0001,What is your age group?,profile,true,0002
0002,What is your gender?,profile,false,0002
0003,Do you pay attention to your personal style?,profile,true,0002
0004,What are your favorite items or accessories to wear?,question,true,0002
0005,How much do you spend on clothing per month?,question,true,0002
0006,How often do you purchase new clothing or accessories?,question,false,0002
0007,Do you prioritize style or comfort?,question,true,0002
0008,Do you prefer monochrome outfits or daring prints and patterns?,question,false,0002
0001,What is your age group?,profile,true,0003
0002,Are you currently studying/working?,profile,true,0003
0003,Do you study/work from home?,profile,false,0003
0004,Do you use public transport?,question,false,0003
0005,What means of public transport do you mainly use?,question,false,0003
0006,"How long is your daily commute, on average?",question,false,3
0007,Are there any aspects of your commute that you find particularly challenging or frustrating?,question,false,0003
0008,What are those aspects?,question,false,0003
0001,What is your age group?,profile,true,0004
0002,What is your gender?,profile,true,0004
0003,Do you prefer Playstation or PC for gaming?,profile,true,0004
0004,What was your favorite game of this year?,question,false,0004
0005,Do you prefer action or story driven games?,question,true,0004
0006,Do you prefer multiplayer or singleplayer games?,question,true,0004
0007,Have your ever thought of creating a game yourself?,question,false,0004
0008,What is the game you have spent the mosts ours on?,question,false,0004
0001,What is your age group?,profile,true,0005
0002,What is your gender?,profile,true,0005
0003,What is your favorite sport?,question,true,0005
0004,Do you prefer team sports?,question,false,0005
0005,What is your favorite athlete?,question,false,0005
0006,Do you think athletes in the top level are overpaid?,	question,true,0005
0007,Do you prefer short or long clothes in sports?,question,false,0005
